Measure,Segmentation,Template,Intensity,Label_1
Volume,sub-000_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,86.625
Volume,sub-001_ses-1_acq-sb_mod-den_qt1map-r1_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,48.625
Volume,sub-002_ses-1_acq-sb_mod-den_qt1map-r1_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,68.875
Volume,sub-004_ses-1_acq-sb_mod-qsm_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,75.5
Volume,sub-007_ses-1_acq-sb_mod-qsm_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,73.0
Volume,sub-008_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,57.625
Volume,sub-012_ses-1_acq-sb_mod-qsm_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,57.25
Volume,sub-016_ses-1_acq-sb_mod-qsm_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,83.625
Volume,sub-020_ses-1_acq-sb_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,69.375
Volume,sub-023_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,77.74999
Volume,sub-024_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,67.62499
Volume,sub-027_ses-1_acq-sb_mod-qsm_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,84.25
Volume,sub-031_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,27.25
Volume,sub-033_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,72.0
Volume,sub-034_ses-1_acq-sb_mod-qsm_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,86.5
Volume,sub-035_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,91.25001
Volume,sub-038_ses-1_acq-sb_mod-qsm_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,57.875
Volume,sub-040_ses-1_acq-sb_mod-qsm_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,64.625
Volume,sub-044_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,69.0
Volume,sub-052_ses-1_acq-sb_mod-qsm_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,51.125
Volume,sub-054_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,32.12499
Volume,sub-055_ses-1_acq-sb_mod-r2starmap_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,76.49999
Volume,sub-060_ses-1_acq-sb_mod-qsm_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,42.875
Volume,sub-067_ses-1_acq-sb_mod-qsm_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,66.25
Volume,sub-075_ses-1_acq-sb_mod-qsm_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,39.25
Volume,sub-076_ses-1_acq-sb_mod-den_qt1map-r1_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,66.0
Volume,sub-077_ses-1_acq-sb_mod-qsm_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,38.625
Volume,sub-079_ses-1_acq-sb_mod-qsm_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,54.0
Volume,sub-082_ses-1_acq-sb_mod-r2starmap_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,76.12502
Volume,sub-083_ses-1_acq-sb_mod-qsm_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,53.875
Volume,sub-085_ses-1_acq-sb_mod-qsm_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,58.375
Volume,sub-088_ses-1_acq-sb_mod-qsm_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,46.25
 
