Measure,Segmentation,Template,Intensity,Label_1
Volume,sub-000_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,124.625
Volume,sub-001_ses-1_acq-sb_mod-den_qt1map-r1_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,115.0
Volume,sub-002_ses-1_acq-sb_mod-den_qt1map-r1_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,59.0
Volume,sub-004_ses-1_acq-sb_mod-qsm_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,62.875
Volume,sub-007_ses-1_acq-sb_mod-qsm_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,36.5
Volume,sub-008_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,52.625
Volume,sub-012_ses-1_acq-sb_mod-qsm_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,59.5
Volume,sub-016_ses-1_acq-sb_mod-qsm_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,86.875
Volume,sub-020_ses-1_acq-sb_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,36.75
Volume,sub-023_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,119.62499
Volume,sub-024_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,75.12499
Volume,sub-027_ses-1_acq-sb_mod-qsm_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,89.375
Volume,sub-031_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,64.625
Volume,sub-033_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,82.125
Volume,sub-034_ses-1_acq-sb_mod-qsm_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,98.625
Volume,sub-035_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,85.50001
Volume,sub-038_ses-1_acq-sb_mod-qsm_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,45.25
Volume,sub-040_ses-1_acq-sb_mod-qsm_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,64.125
Volume,sub-044_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,85.125
Volume,sub-052_ses-1_acq-sb_mod-qsm_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,60.625
Volume,sub-054_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,51.999985
Volume,sub-055_ses-1_acq-sb_mod-r2starmap_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,65.12499
Volume,sub-060_ses-1_acq-sb_mod-qsm_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,65.25
Volume,sub-067_ses-1_acq-sb_mod-qsm_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,89.625
Volume,sub-075_ses-1_acq-sb_mod-qsm_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,78.875
Volume,sub-076_ses-1_acq-sb_mod-den_qt1map-r1_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,99.75
Volume,sub-077_ses-1_acq-sb_mod-qsm_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,66.125
Volume,sub-079_ses-1_acq-sb_mod-qsm_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,81.5
Volume,sub-082_ses-1_acq-sb_mod-r2starmap_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,117.500046
Volume,sub-083_ses-1_acq-sb_mod-qsm_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,53.625
Volume,sub-085_ses-1_acq-sb_mod-qsm_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,62.875
Volume,sub-088_ses-1_acq-sb_mod-qsm_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,71.875
 
