Measure,Segmentation,Template,Intensity,Label_1
SegVolume,sub-111_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-opx_calc-bin_out.nii.gz,-,-,107.62502
SegVolume,sub-112_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,114.0
SegVolume,sub-113_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,49.125
SegVolume,sub-114_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,85.0
SegVolume,sub-115_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,97.125
SegVolume,sub-116_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,64.375
SegVolume,sub-117_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,94.625
SegVolume,sub-118_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,76.0
SegVolume,sub-119_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,80.25
SegVolume,sub-120_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,64.5
SegVolume,sub-000_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,124.625
SegVolume,sub-000_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,124.625
SegVolume,sub-112_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,114.0
SegVolume,sub-113_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,49.125
SegVolume,sub-114_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,85.0
SegVolume,sub-115_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,97.125
SegVolume,sub-117_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,94.625
SegVolume,sub-118_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,76.0
SegVolume,sub-119_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,80.25
SegVolume,sub-120_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,64.5
SegVolume,sub-000_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-aax_calc-bin_out.nii.gz,-,-,124.625
 
