Measure,Segmentation,Template,Intensity,Label_1
Volume,sub-016_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-l_rat-opx_calc-bin_out.nii.gz,-,-,109.5
Volume,sub-023_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-l_rat-opx_calc-bin_out.nii.gz,-,-,198.24998
Volume,sub-035_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-l_rat-opx_calc-bin_out.nii.gz,-,-,77.75001
Volume,sub-044_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-l_rat-opx_calc-bin_out.nii.gz,-,-,164.5
Volume,sub-055_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-l_rat-opx_calc-bin_out.nii.gz,-,-,90.99999
Volume,sub-060_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-l_rat-opx_calc-bin_out.nii.gz,-,-,140.87503
Volume,sub-075_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-l_rat-opx_calc-bin_out.nii.gz,-,-,111.625
Volume,sub-076_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-l_rat-opx_calc-bin_out.nii.gz,-,-,146.0
Volume,sub-082_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-l_rat-opx_calc-bin_out.nii.gz,-,-,106.875046
Volume,sub-111_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-l_rat-opx_calc-bin_out.nii.gz,-,-,63.12501
Volume,sub-112_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,110.25
Volume,sub-113_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,72.25
Volume,sub-114_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,65.0
Volume,sub-115_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,69.125
Volume,sub-116_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,35.625
Volume,sub-117_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,118.5
Volume,sub-118_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,87.375
Volume,sub-119_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,62.375
Volume,sub-120_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,47.625
Volume,sub-121_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-l_rat-aax_calc-bin_out.nii.gz,-,-,59.999992
Volume,sub-000_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-l_rat-jfa_calc-bin_out.nii.gz,-,-,86.625
Volume,sub-001_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-l_rat-jfa_calc-bin_out.nii.gz,-,-,60.875
Volume,sub-002_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-l_rat-jfa_calc-bin_out.nii.gz,-,-,65.625
Volume,sub-004_ses-1_acq-sb2_mod-r1hz_orient-std_mask-mgn_hem-l_rat-jfa_calc-bin_out.nii.gz,-,-,91.375
Volume,sub-008_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-l_rat-jfa_calc-bin_out.nii.gz,-,-,44.75
Volume,sub-012_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-l_rat-jfa_calc-bin_out.nii.gz,-,-,38.125
Volume,sub-016_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-l_rat-opx_calc-bin_out.nii.gz,-,-,109.5
Volume,sub-023_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-l_rat-opx_calc-bin_out.nii.gz,-,-,198.24998
Volume,sub-024_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-l_rat-jfa_calc-bin_out.nii.gz,-,-,54.374996
Volume,sub-031_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-l_rat-jfa_calc-bin_out.nii.gz,-,-,44.375
Volume,sub-033_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-l_rat-jfa_calc-bin_out.nii.gz,-,-,126.75
Volume,sub-035_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-l_rat-opx_calc-bin_out.nii.gz,-,-,77.75001
Volume,sub-040_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-l_rat-jfa_calc-bin_out.nii.gz,-,-,46.75
Volume,sub-044_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-l_rat-opx_calc-bin_out.nii.gz,-,-,164.5
Volume,sub-055_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-l_rat-opx_calc-bin_out.nii.gz,-,-,90.99999
Volume,sub-060_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-l_rat-opx_calc-bin_out.nii.gz,-,-,140.87503
Volume,sub-075_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-l_rat-opx_calc-bin_out.nii.gz,-,-,111.625
Volume,sub-076_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-l_rat-opx_calc-bin_out.nii.gz,-,-,146.0
Volume,sub-082_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-l_rat-opx_calc-bin_out.nii.gz,-,-,106.875046
 
