Measure,Segmentation,Template,Intensity,Label_1
Volume,sub-016_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-opx_calc-bin_out.nii.gz,-,-,139.5
Volume,sub-023_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-opx_calc-bin_out.nii.gz,-,-,170.49998
Volume,sub-035_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-opx_calc-bin_out.nii.gz,-,-,88.50001
Volume,sub-044_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-opx_calc-bin_out.nii.gz,-,-,170.25
Volume,sub-054_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-opx_calc-bin_out.nii.gz,-,-,74.99998
Volume,sub-055_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-opx_calc-bin_out.nii.gz,-,-,85.74999
Volume,sub-060_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-opx_calc-bin_out.nii.gz,-,-,102.00003
Volume,sub-075_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-opx_calc-bin_out.nii.gz,-,-,121
Volume,sub-076_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-opx_calc-bin_out.nii.gz,-,-,152.875
Volume,sub-082_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-opx_calc-bin_out.nii.gz,-,-,151.00005
Volume,sub-084_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-opx_calc-bin_out.nii.gz,-,-,72
Volume,sub-111_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-opx_calc-bin_out.nii.gz,-,-,107.62502
Volume,sub-112_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-opx_calc-bin_out.nii.gz,-,-,79.625
Volume,sub-113_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-opx_calc-bin_out.nii.gz,-,-,60.25
Volume,sub-114_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-opx_calc-bin_out.nii.gz,-,-,132.25
Volume,sub-115_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-opx_calc-bin_out.nii.gz,-,-,104.25
Volume,sub-116_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-opx_calc-bin_out.nii.gz,-,-,96.375
Volume,sub-117_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-opx_calc-bin_out.nii.gz,-,-,164.75
Volume,sub-118_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-opx_calc-bin_out.nii.gz,-,-,75.75
Volume,sub-119_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-opx_calc-bin_out.nii.gz,-,-,113.625
Volume,sub-120_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-opx_calc-bin_out.nii.gz,-,-,150.125
Volume,sub-121_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-opx_calc-bin_out.nii.gz,-,-,80.749985
